method, number of concurrent connections, thread id, attempt number, time in miliseconds
getAllFlights("GBP"),1,0,0,6565
getAllFlights("GBP"),1,0,1,713
getAllFlights("GBP"),1,0,2,726
getAllFlights("GBP"),1,0,3,771
getAllFlights("GBP"),1,0,4,716
getAllFlights("GBP"),1,0,5,675
getAllFlights("GBP"),1,0,6,634
getAllFlights("GBP"),1,0,7,620
getAllFlights("GBP"),1,0,8,703
getAllFlights("GBP"),1,0,9,688
getAllFlights("GBP"),2,0,0,1230
getAllFlights("GBP"),2,1,0,1279
getAllFlights("GBP"),2,0,1,1201
getAllFlights("GBP"),2,1,1,1240
getAllFlights("GBP"),2,0,2,1228
getAllFlights("GBP"),2,1,2,1320
getAllFlights("GBP"),2,0,3,1453
getAllFlights("GBP"),2,1,3,1316
getAllFlights("GBP"),2,0,4,1257
getAllFlights("GBP"),2,1,4,1220
getAllFlights("GBP"),2,0,5,1255
getAllFlights("GBP"),2,1,5,1387
getAllFlights("GBP"),2,0,6,1257
getAllFlights("GBP"),2,1,6,1133
getAllFlights("GBP"),2,1,7,922
getAllFlights("GBP"),2,0,7,1007
getAllFlights("GBP"),2,0,8,1064
getAllFlights("GBP"),2,1,8,1222
getAllFlights("GBP"),2,0,9,984
getAllFlights("GBP"),2,1,9,897
getAllFlights("GBP"),3,0,0,1354
getAllFlights("GBP"),3,2,0,1475
getAllFlights("GBP"),3,1,0,1602
getAllFlights("GBP"),3,0,1,1314
getAllFlights("GBP"),3,2,1,1486
getAllFlights("GBP"),3,1,1,1505
getAllFlights("GBP"),3,0,2,1734
getAllFlights("GBP"),3,2,2,1575
getAllFlights("GBP"),3,1,2,1540
getAllFlights("GBP"),3,0,3,1554
getAllFlights("GBP"),3,2,3,1546
getAllFlights("GBP"),3,1,3,1754
getAllFlights("GBP"),3,0,4,1487
getAllFlights("GBP"),3,2,4,1566
getAllFlights("GBP"),3,1,4,1610
getAllFlights("GBP"),3,0,5,1819
getAllFlights("GBP"),3,2,5,1631
getAllFlights("GBP"),3,1,5,1808
getAllFlights("GBP"),3,0,6,1916
getAllFlights("GBP"),3,2,6,1957
getAllFlights("GBP"),3,1,6,1953
getAllFlights("GBP"),3,0,7,1509
getAllFlights("GBP"),3,2,7,1548
getAllFlights("GBP"),3,1,7,1728
getAllFlights("GBP"),3,0,8,1840
getAllFlights("GBP"),3,2,8,2153
getAllFlights("GBP"),3,1,8,2128
getAllFlights("GBP"),3,0,9,1724
getAllFlights("GBP"),3,2,9,1588
getAllFlights("GBP"),3,1,9,1059
getAllFlights("GBP"),4,2,0,1978
getAllFlights("GBP"),4,0,0,1996
getAllFlights("GBP"),4,1,0,2248
getAllFlights("GBP"),4,3,0,2308
getAllFlights("GBP"),4,1,1,1973
getAllFlights("GBP"),4,0,1,2317
getAllFlights("GBP"),4,3,1,2329
getAllFlights("GBP"),4,2,1,2700
getAllFlights("GBP"),4,1,2,2208
getAllFlights("GBP"),4,0,2,2220
getAllFlights("GBP"),4,2,2,1937
getAllFlights("GBP"),4,3,2,2099
getAllFlights("GBP"),4,3,3,1647
getAllFlights("GBP"),4,2,3,1901
getAllFlights("GBP"),4,1,3,2162
getAllFlights("GBP"),4,0,3,2079
getAllFlights("GBP"),4,3,4,1661
getAllFlights("GBP"),4,0,4,1559
getAllFlights("GBP"),4,2,4,1818
getAllFlights("GBP"),4,1,4,1951
getAllFlights("GBP"),4,3,5,1844
getAllFlights("GBP"),4,2,5,1683
getAllFlights("GBP"),4,0,5,1996
getAllFlights("GBP"),4,1,5,1646
getAllFlights("GBP"),4,3,6,1698
getAllFlights("GBP"),4,1,6,1434
getAllFlights("GBP"),4,0,6,1543
getAllFlights("GBP"),4,2,6,1893
getAllFlights("GBP"),4,1,7,2886
getAllFlights("GBP"),4,3,7,2922
getAllFlights("GBP"),4,0,7,2929
getAllFlights("GBP"),4,2,7,2801
getAllFlights("GBP"),4,3,8,2697
getAllFlights("GBP"),4,2,8,2513
getAllFlights("GBP"),4,1,8,2910
getAllFlights("GBP"),4,0,8,2819
getAllFlights("GBP"),4,3,9,1977
getAllFlights("GBP"),4,2,9,1991
getAllFlights("GBP"),4,1,9,1809
getAllFlights("GBP"),4,0,9,1834
getAllFlights("GBP"),5,0,0,failed
getAllFlights("GBP"),5,1,0,failed
getAllFlights("GBP"),5,4,0,failed
getAllFlights("GBP"),5,3,0,failed
getAllFlights("GBP"),5,2,0,failed
getAllFlights("GBP"),5,3,1,failed
getAllFlights("GBP"),5,2,1,failed
getAllFlights("GBP"),5,0,1,failed
getAllFlights("GBP"),5,4,1,failed
getAllFlights("GBP"),5,1,1,failed
getAllFlights("GBP"),5,3,2,failed
getAllFlights("GBP"),5,2,2,failed
getAllFlights("GBP"),5,4,2,failed
getAllFlights("GBP"),5,1,2,failed
getAllFlights("GBP"),5,0,2,failed
getAllFlights("GBP"),5,1,3,failed
getAllFlights("GBP"),5,2,3,failed
getAllFlights("GBP"),5,3,3,failed
getAllFlights("GBP"),5,0,3,failed
getAllFlights("GBP"),5,4,3,failed
