method, number of concurrent connections, thread id, attempt number, time in miliseconds
searchFlights,1,0,0,9176
searchFlights,1,0,1,1125
searchFlights,1,0,2,1137
searchFlights,1,0,3,1233
searchFlights,1,0,4,811
searchFlights,1,0,5,999
searchFlights,1,0,6,787
searchFlights,1,0,7,828
searchFlights,1,0,8,795
searchFlights,1,0,9,852
searchFlights,2,0,0,1123
searchFlights,2,1,0,1129
searchFlights,2,0,1,1172
searchFlights,2,1,1,1157
searchFlights,2,1,2,1213
searchFlights,2,0,2,1409
searchFlights,2,1,3,1328
searchFlights,2,0,3,1263
searchFlights,2,1,4,1253
searchFlights,2,0,4,1162
searchFlights,2,0,5,1372
searchFlights,2,1,5,1448
searchFlights,2,0,6,1525
searchFlights,2,1,6,1575
searchFlights,2,0,7,1250
searchFlights,2,1,7,1365
searchFlights,2,0,8,1400
searchFlights,2,1,8,1274
searchFlights,2,1,9,1162
searchFlights,2,0,9,1306
searchFlights,3,2,0,1606
searchFlights,3,0,0,1876
searchFlights,3,1,0,1883
searchFlights,3,2,1,1579
searchFlights,3,0,1,1764
searchFlights,3,1,1,1884
searchFlights,3,2,2,2069
searchFlights,3,0,2,1961
searchFlights,3,1,2,1893
searchFlights,3,2,3,1830
searchFlights,3,0,3,1677
searchFlights,3,1,3,1825
searchFlights,3,2,4,2238
searchFlights,3,0,4,2231
searchFlights,3,1,4,2179
searchFlights,3,0,5,1711
searchFlights,3,2,5,1951
searchFlights,3,1,5,1845
searchFlights,3,0,6,2107
searchFlights,3,2,6,2176
searchFlights,3,1,6,2391
searchFlights,3,2,7,2161
searchFlights,3,0,7,2493
searchFlights,3,1,7,2248
searchFlights,3,2,8,2051
searchFlights,3,0,8,2204
searchFlights,3,1,8,1969
searchFlights,3,2,9,1918
searchFlights,3,1,9,1549
searchFlights,3,0,9,1651
searchFlights,4,1,0,2114
searchFlights,4,3,0,2236
searchFlights,4,0,0,2347
searchFlights,4,2,0,2393
searchFlights,4,3,1,2545
searchFlights,4,1,1,2737
searchFlights,4,0,1,2531
searchFlights,4,2,1,2612
searchFlights,4,2,2,1971
searchFlights,4,1,2,2208
searchFlights,4,3,2,2317
searchFlights,4,0,2,2352
searchFlights,4,3,3,2503
searchFlights,4,2,3,2669
searchFlights,4,1,3,2731
searchFlights,4,0,3,3010
searchFlights,4,3,4,2824
searchFlights,4,2,4,2834
searchFlights,4,1,4,2852
searchFlights,4,0,4,2567
searchFlights,4,2,5,2218
searchFlights,4,1,5,2257
searchFlights,4,3,5,2558
searchFlights,4,0,5,2552
searchFlights,4,2,6,2512
searchFlights,4,3,6,2428
searchFlights,4,0,6,2162
searchFlights,4,1,6,2739
searchFlights,4,0,7,2887
searchFlights,4,3,7,3086
searchFlights,4,1,7,3094
searchFlights,4,2,7,3578
searchFlights,4,2,8,3015
searchFlights,4,0,8,3454
searchFlights,4,3,8,3349
searchFlights,4,1,8,3320
searchFlights,4,3,9,2424
searchFlights,4,1,9,2293
searchFlights,4,2,9,2539
searchFlights,4,0,9,2574
searchFlights,5,2,0,failed
searchFlights,5,0,0,failed
searchFlights,5,3,0,failed
searchFlights,5,4,0,failed
searchFlights,5,1,0,failed
searchFlights,5,2,1,failed
searchFlights,5,3,1,failed
searchFlights,5,4,1,failed
searchFlights,5,0,1,failed
searchFlights,5,1,1,failed
